step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
18160,62.0,62,,,,,
18273,113.0,113,,,,,
18432,,,65.59202575683594,-4.781435012817383,0.5538836717605591,0.09668572247028351,0.296875
18540,267.0,267,,,,,
18720,180.0,180,,,,,
18912,192.0,192,,,,,
19070,158.0,158,,,,,
19146,76.0,76,,,,,
19411,265.0,265,,,,,
19816,405.0,405,,,,,
19989,173.0,173,,,,,
20269,280.0,280,,,,,
20454,185.0,185,,,,,
20480,,,70.26084899902344,-9.03081226348877,0.6528066396713257,0.014603077434003353,0.15234375
20500,46.0,46,,,,,
20730,230.0,230,,,,,
20832,102.0,102,,,,,
20874,42.0,42,,,,,
20946,72.0,72,,,,,
20970,24.0,24,,,,,
20990,20.0,20,,,,,
21016,26.0,26,,,,,
21026,10.0,10,,,,,
21061,35.0,35,,,,,
21101,40.0,40,,,,,
21119,18.0,18,,,,,
21145,26.0,26,,,,,
21271,126.0,126,,,,,
21314,43.0,43,,,,,
21358,44.0,44,,,,,
21392,34.0,34,,,,,
21441,49.0,49,,,,,
21534,93.0,93,,,,,
21543,9.0,9,,,,,
21681,138.0,138,,,,,
21702,21.0,21,,,,,
21849,147.0,147,,,,,
21982,133.0,133,,,,,
22108,126.0,126,,,,,
22228,120.0,120,,,,,
22325,97.0,97,,,,,
22467,142.0,142,,,,,
22528,,,88.69844055175781,-4.14762020111084,0.5658001899719238,0.07891059666872025,0.25390625
22638,171.0,171,,,,,
22691,53.0,53,,,,,
22757,66.0,66,,,,,
22855,98.0,98,,,,,
22953,98.0,98,,,,,
23017,64.0,64,,,,,
23157,140.0,140,,,,,
23242,85.0,85,,,,,
23281,39.0,39,,,,,
23363,82.0,82,,,,,
23393,30.0,30,,,,,
23407,14.0,14,,,,,
23456,49.0,49,,,,,
23477,21.0,21,,,,,
23521,44.0,44,,,,,
23566,45.0,45,,,,,
23655,89.0,89,,,,,
23885,230.0,230,,,,,
23900,15.0,15,,,,,
23923,23.0,23,,,,,
23982,59.0,59,,,,,
24042,60.0,60,,,,,
24297,255.0,255,,,,,
24504,207.0,207,,,,,
24576,,,96.47566223144531,-4.4724225997924805,0.5632809400558472,0.18874973058700562,0.31640625
24589,85.0,85,,,,,
24677,88.0,88,,,,,
24782,105.0,105,,,,,
24860,78.0,78,,,,,
24961,101.0,101,,,,,
25150,189.0,189,,,,,
25292,142.0,142,,,,,
25429,137.0,137,,,,,
25489,60.0,60,,,,,
25508,19.0,19,,,,,
25525,17.0,17,,,,,
25560,35.0,35,,,,,
25596,36.0,36,,,,,
25613,17.0,17,,,,,
25657,44.0,44,,,,,
25712,55.0,55,,,,,
25800,88.0,88,,,,,
25825,25.0,25,,,,,
25970,145.0,145,,,,,
26123,153.0,153,,,,,
26142,19.0,19,,,,,
26242,100.0,100,,,,,
26343,101.0,101,,,,,
26385,42.0,42,,,,,
26420,35.0,35,,,,,
26624,,,91.85704040527344,-3.2416415214538574,0.528545618057251,0.27422821521759033,0.3125
26676,256.0,256,,,,,
26909,233.0,233,,,,,
26942,33.0,33,,,,,
27098,156.0,156,,,,,
27207,109.0,109,,,,,
27329,122.0,122,,,,,
27432,103.0,103,,,,,
27543,111.0,111,,,,,
27723,180.0,180,,,,,
27791,68.0,68,,,,,
27882,91.0,91,,,,,
28045,163.0,163,,,,,
28246,201.0,201,,,,,
28392,146.0,146,,,,,
28426,34.0,34,,,,,
28556,130.0,130,,,,,
28672,,,63.189308166503906,-5.487042427062988,0.613296627998352,0.014136584475636482,0.13671875
28697,141.0,141,,,,,
28719,22.0,22,,,,,
28756,37.0,37,,,,,
28805,49.0,49,,,,,
28883,78.0,78,,,,,
28897,14.0,14,,,,,
28969,72.0,72,,,,,
29081,112.0,112,,,,,
29216,135.0,135,,,,,
29239,23.0,23,,,,,
29270,31.0,31,,,,,
29297,27.0,27,,,,,
29424,127.0,127,,,,,
29445,21.0,21,,,,,
29519,74.0,74,,,,,
29556,37.0,37,,,,,
29583,27.0,27,,,,,
29659,76.0,76,,,,,
29714,55.0,55,,,,,
29882,168.0,168,,,,,
29996,114.0,114,,,,,
30030,34.0,34,,,,,
30056,26.0,26,,,,,
30191,135.0,135,,,,,
30235,44.0,44,,,,,
30269,34.0,34,,,,,
30383,114.0,114,,,,,
30423,40.0,40,,,,,
30465,42.0,42,,,,,
30587,122.0,122,,,,,
30638,51.0,51,,,,,
30674,36.0,36,,,,,
30701,27.0,27,,,,,
30720,,,100.16020202636719,0.964521050453186,0.5098057389259338,0.3597974181175232,0.328125
30881,180.0,180,,,,,
30909,28.0,28,,,,,
31020,111.0,111,,,,,
31038,18.0,18,,,,,
31153,115.0,115,,,,,
31295,142.0,142,,,,,
