step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
57,57.0,57,,,,,
133,76.0,76,,,,,
146,13.0,13,,,,,
161,15.0,15,,,,,
173,12.0,12,,,,,
185,12.0,12,,,,,
211,26.0,26,,,,,
226,15.0,15,,,,,
237,11.0,11,,,,,
259,22.0,22,,,,,
278,19.0,19,,,,,
317,39.0,39,,,,,
395,78.0,78,,,,,
412,17.0,17,,,,,
434,22.0,22,,,,,
449,15.0,15,,,,,
473,24.0,24,,,,,
509,36.0,36,,,,,
525,16.0,16,,,,,
538,13.0,13,,,,,
555,17.0,17,,,,,
574,19.0,19,,,,,
599,25.0,25,,,,,
627,28.0,28,,,,,
647,20.0,20,,,,,
674,27.0,27,,,,,
723,49.0,49,,,,,
750,27.0,27,,,,,
768,18.0,18,,,,,
801,33.0,33,,,,,
823,22.0,22,,,,,
843,20.0,20,,,,,
856,13.0,13,,,,,
872,16.0,16,,,,,
892,20.0,20,,,,,
914,22.0,22,,,,,
929,15.0,15,,,,,
946,17.0,17,,,,,
978,32.0,32,,,,,
992,14.0,14,,,,,
1010,18.0,18,,,,,
1099,89.0,89,,,,,
1112,13.0,13,,,,,
1160,48.0,48,,,,,
1187,27.0,27,,,,,
1217,30.0,30,,,,,
1232,15.0,15,,,,,
1245,13.0,13,,,,,
1263,18.0,18,,,,,
1286,23.0,23,,,,,
1307,21.0,21,,,,,
1336,29.0,29,,,,,
1363,27.0,27,,,,,
1378,15.0,15,,,,,
1413,35.0,35,,,,,
1433,20.0,20,,,,,
1443,10.0,10,,,,,
1456,13.0,13,,,,,
1469,13.0,13,,,,,
1486,17.0,17,,,,,
1497,11.0,11,,,,,
1513,16.0,16,,,,,
1528,15.0,15,,,,,
1543,15.0,15,,,,,
1562,19.0,19,,,,,
1578,16.0,16,,,,,
1591,13.0,13,,,,,
1604,13.0,13,,,,,
1621,17.0,17,,,,,
1632,11.0,11,,,,,
1655,23.0,23,,,,,
1668,13.0,13,,,,,
1697,29.0,29,,,,,
1777,80.0,80,,,,,
1801,24.0,24,,,,,
1822,21.0,21,,,,,
1839,17.0,17,,,,,
1852,13.0,13,,,,,
1866,14.0,14,,,,,
1883,17.0,17,,,,,
1896,13.0,13,,,,,
1910,14.0,14,,,,,
1934,24.0,24,,,,,
1952,18.0,18,,,,,
1975,23.0,23,,,,,
1989,14.0,14,,,,,
2005,16.0,16,,,,,
2040,35.0,35,,,,,
2048,,,85.16545104980469,-8.861196517944336,0.6664941310882568,0.013211516663432121,0.21484375
2061,21.0,21,,,,,
2085,24.0,24,,,,,
2146,61.0,61,,,,,
2179,33.0,33,,,,,
2212,33.0,33,,,,,
2242,30.0,30,,,,,
2341,99.0,99,,,,,
2359,18.0,18,,,,,
2378,19.0,19,,,,,
2405,27.0,27,,,,,
2426,21.0,21,,,,,
2446,20.0,20,,,,,
2507,61.0,61,,,,,
2560,53.0,53,,,,,
2576,16.0,16,,,,,
2587,11.0,11,,,,,
2630,43.0,43,,,,,
2650,20.0,20,,,,,
2703,53.0,53,,,,,
2716,13.0,13,,,,,
2753,37.0,37,,,,,
2811,58.0,58,,,,,
2849,38.0,38,,,,,
2866,17.0,17,,,,,
2890,24.0,24,,,,,
2904,14.0,14,,,,,
2930,26.0,26,,,,,
2943,13.0,13,,,,,
2960,17.0,17,,,,,
3016,56.0,56,,,,,
3036,20.0,20,,,,,
3091,55.0,55,,,,,
3103,12.0,12,,,,,
3118,15.0,15,,,,,
3143,25.0,25,,,,,
3225,82.0,82,,,,,
3264,39.0,39,,,,,
3323,59.0,59,,,,,
3348,25.0,25,,,,,
3395,47.0,47,,,,,
3416,21.0,21,,,,,
3435,19.0,19,,,,,
3454,19.0,19,,,,,
3496,42.0,42,,,,,
3518,22.0,22,,,,,
3582,64.0,64,,,,,
3615,33.0,33,,,,,
3640,25.0,25,,,,,
3667,27.0,27,,,,,
3692,25.0,25,,,,,
3731,39.0,39,,,,,
3770,39.0,39,,,,,
3811,41.0,41,,,,,
3836,25.0,25,,,,,
3878,42.0,42,,,,,
3904,26.0,26,,,,,
3915,11.0,11,,,,,
3942,27.0,27,,,,,
3984,42.0,42,,,,,
4018,34.0,34,,,,,
4040,22.0,22,,,,,
4069,29.0,29,,,,,
4093,24.0,24,,,,,
4096,,,100.95323944091797,-10.533267974853516,0.6351113319396973,0.018837226554751396,0.28515625
4166,73.0,73,,,,,
4220,54.0,54,,,,,
4313,93.0,93,,,,,
4385,72.0,72,,,,,
4521,136.0,136,,,,,
4540,19.0,19,,,,,
4655,115.0,115,,,,,
4674,19.0,19,,,,,
4694,20.0,20,,,,,
4786,92.0,92,,,,,
4806,20.0,20,,,,,
4870,64.0,64,,,,,
4906,36.0,36,,,,,
4987,81.0,81,,,,,
5076,89.0,89,,,,,
5160,84.0,84,,,,,
5220,60.0,60,,,,,
5284,64.0,64,,,,,
5298,14.0,14,,,,,
5339,41.0,41,,,,,
5437,98.0,98,,,,,
5464,27.0,27,,,,,
5526,62.0,62,,,,,
5554,28.0,28,,,,,
5589,35.0,35,,,,,
5647,58.0,58,,,,,
5802,155.0,155,,,,,
5826,24.0,24,,,,,
5918,92.0,92,,,,,
5932,14.0,14,,,,,
6055,123.0,123,,,,,
6144,,,123.77204895019531,-12.814664840698242,0.585452675819397,0.01981820911169052,0.2265625
6166,111.0,111,,,,,
6348,182.0,182,,,,,
6449,101.0,101,,,,,
6555,106.0,106,,,,,
6713,158.0,158,,,,,
6755,42.0,42,,,,,
6835,80.0,80,,,,,
7062,227.0,227,,,,,
7129,67.0,67,,,,,
7260,131.0,131,,,,,
