step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
20,20.0,20,,,,,
38,18.0,18,,,,,
77,39.0,39,,,,,
106,29.0,29,,,,,
140,34.0,34,,,,,
179,39.0,39,,,,,
209,30.0,30,,,,,
219,10.0,10,,,,,
265,46.0,46,,,,,
310,45.0,45,,,,,
329,19.0,19,,,,,
370,41.0,41,,,,,
385,15.0,15,,,,,
407,22.0,22,,,,,
425,18.0,18,,,,,
436,11.0,11,,,,,
449,13.0,13,,,,,
465,16.0,16,,,,,
506,41.0,41,,,,,
527,21.0,21,,,,,
549,22.0,22,,,,,
588,39.0,39,,,,,
599,11.0,11,,,,,
617,18.0,18,,,,,
651,34.0,34,,,,,
687,36.0,36,,,,,
713,26.0,26,,,,,
734,21.0,21,,,,,
745,11.0,11,,,,,
756,11.0,11,,,,,
774,18.0,18,,,,,
799,25.0,25,,,,,
812,13.0,13,,,,,
829,17.0,17,,,,,
851,22.0,22,,,,,
874,23.0,23,,,,,
916,42.0,42,,,,,
940,24.0,24,,,,,
956,16.0,16,,,,,
973,17.0,17,,,,,
994,21.0,21,,,,,
1007,13.0,13,,,,,
1031,24.0,24,,,,,
1044,13.0,13,,,,,
1076,32.0,32,,,,,
1093,17.0,17,,,,,
1118,25.0,25,,,,,
1132,14.0,14,,,,,
1147,15.0,15,,,,,
1164,17.0,17,,,,,
1180,16.0,16,,,,,
1199,19.0,19,,,,,
1251,52.0,52,,,,,
1272,21.0,21,,,,,
1288,16.0,16,,,,,
1297,9.0,9,,,,,
1311,14.0,14,,,,,
1331,20.0,20,,,,,
1345,14.0,14,,,,,
1384,39.0,39,,,,,
1401,17.0,17,,,,,
1455,54.0,54,,,,,
1469,14.0,14,,,,,
1489,20.0,20,,,,,
1523,34.0,34,,,,,
1551,28.0,28,,,,,
1564,13.0,13,,,,,
1599,35.0,35,,,,,
1611,12.0,12,,,,,
1637,26.0,26,,,,,
1666,29.0,29,,,,,
1688,22.0,22,,,,,
1714,26.0,26,,,,,
1727,13.0,13,,,,,
1739,12.0,12,,,,,
1787,48.0,48,,,,,
1814,27.0,27,,,,,
1826,12.0,12,,,,,
1838,12.0,12,,,,,
1856,18.0,18,,,,,
1874,18.0,18,,,,,
1897,23.0,23,,,,,
1934,37.0,37,,,,,
1962,28.0,28,,,,,
1973,11.0,11,,,,,
1987,14.0,14,,,,,
2014,27.0,27,,,,,
2042,28.0,28,,,,,
2048,,,82.63615417480469,-9.030531883239746,0.674674928188324,0.01293602678924799,0.19140625
2062,20.0,20,,,,,
2087,25.0,25,,,,,
2108,21.0,21,,,,,
2153,45.0,45,,,,,
2201,48.0,48,,,,,
2225,24.0,24,,,,,
2286,61.0,61,,,,,
2310,24.0,24,,,,,
2350,40.0,40,,,,,
2364,14.0,14,,,,,
2387,23.0,23,,,,,
2421,34.0,34,,,,,
2483,62.0,62,,,,,
2503,20.0,20,,,,,
2536,33.0,33,,,,,
2575,39.0,39,,,,,
2603,28.0,28,,,,,
2619,16.0,16,,,,,
2654,35.0,35,,,,,
2668,14.0,14,,,,,
2688,20.0,20,,,,,
2730,42.0,42,,,,,
2755,25.0,25,,,,,
2778,23.0,23,,,,,
2814,36.0,36,,,,,
2860,46.0,46,,,,,
2902,42.0,42,,,,,
2931,29.0,29,,,,,
2948,17.0,17,,,,,
2960,12.0,12,,,,,
3000,40.0,40,,,,,
3011,11.0,11,,,,,
3028,17.0,17,,,,,
3050,22.0,22,,,,,
3071,21.0,21,,,,,
3096,25.0,25,,,,,
3119,23.0,23,,,,,
3147,28.0,28,,,,,
3187,40.0,40,,,,,
3204,17.0,17,,,,,
