step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
29,29.0,29,,,,,
90,61.0,61,,,,,
132,42.0,42,,,,,
147,15.0,15,,,,,
177,30.0,30,,,,,
200,23.0,23,,,,,
264,64.0,64,,,,,
306,42.0,42,,,,,
366,60.0,60,,,,,
404,38.0,38,,,,,
451,47.0,47,,,,,
519,68.0,68,,,,,
623,104.0,104,,,,,
702,79.0,79,,,,,
737,35.0,35,,,,,
770,33.0,33,,,,,
798,28.0,28,,,,,
817,19.0,19,,,,,
873,56.0,56,,,,,
885,12.0,12,,,,,
944,59.0,59,,,,,
976,32.0,32,,,,,
1011,35.0,35,,,,,
1086,75.0,75,,,,,
1103,17.0,17,,,,,
1165,62.0,62,,,,,
1209,44.0,44,,,,,
1240,31.0,31,,,,,
1281,41.0,41,,,,,
1369,88.0,88,,,,,
1417,48.0,48,,,,,
1480,63.0,63,,,,,
1536,56.0,56,,,,,
1567,31.0,31,,,,,
1594,27.0,27,,,,,
1653,59.0,59,,,,,
1713,60.0,60,,,,,
1764,51.0,51,,,,,
1806,42.0,42,,,,,
1850,44.0,44,,,,,
1885,35.0,35,,,,,
1930,45.0,45,,,,,
1948,18.0,18,,,,,
2012,64.0,64,,,,,
2048,,,142.7352752685547,-12.000717163085938,0.6032332181930542,0.008803999051451683,0.09375
2051,39.0,39,,,,,
2121,70.0,70,,,,,
2155,34.0,34,,,,,
2213,58.0,58,,,,,
2262,49.0,49,,,,,
2349,87.0,87,,,,,
2455,106.0,106,,,,,
2499,44.0,44,,,,,
2631,132.0,132,,,,,
2760,129.0,129,,,,,
2838,78.0,78,,,,,
2886,48.0,48,,,,,
2937,51.0,51,,,,,
3067,130.0,130,,,,,
3115,48.0,48,,,,,
3136,21.0,21,,,,,
3190,54.0,54,,,,,
3216,26.0,26,,,,,
3308,92.0,92,,,,,
3365,57.0,57,,,,,
3436,71.0,71,,,,,
3500,64.0,64,,,,,
3542,42.0,42,,,,,
3628,86.0,86,,,,,
3684,56.0,56,,,,,
3708,24.0,24,,,,,
3782,74.0,74,,,,,
3856,74.0,74,,,,,
4022,166.0,166,,,,,
4096,,,148.660888671875,-13.427385330200195,0.5901829600334167,0.016175661236047745,0.25390625
4153,131.0,131,,,,,
4295,142.0,142,,,,,
4337,42.0,42,,,,,
4410,73.0,73,,,,,
4551,141.0,141,,,,,
4579,28.0,28,,,,,
4691,112.0,112,,,,,
4788,97.0,97,,,,,
4913,125.0,125,,,,,
4969,56.0,56,,,,,
