step,ep_return,ep_len,value_loss,policy_loss,entropy,approx_kl,clipfrac
10,10.0,10,,,,,
27,17.0,17,,,,,
44,17.0,17,,,,,
68,24.0,24,,,,,
81,13.0,13,,,,,
110,29.0,29,,,,,
133,23.0,23,,,,,
168,35.0,35,,,,,
191,23.0,23,,,,,
211,20.0,20,,,,,
226,15.0,15,,,,,
239,13.0,13,,,,,
259,20.0,20,,,,,
268,9.0,9,,,,,
291,23.0,23,,,,,
306,15.0,15,,,,,
319,13.0,13,,,,,
333,14.0,14,,,,,
342,9.0,9,,,,,
361,19.0,19,,,,,
375,14.0,14,,,,,
389,14.0,14,,,,,
401,12.0,12,,,,,
417,16.0,16,,,,,
437,20.0,20,,,,,
453,16.0,16,,,,,
495,42.0,42,,,,,
509,14.0,14,,,,,
524,15.0,15,,,,,
543,19.0,19,,,,,
568,25.0,25,,,,,
581,13.0,13,,,,,
608,27.0,27,,,,,
624,16.0,16,,,,,
655,31.0,31,,,,,
676,21.0,21,,,,,
690,14.0,14,,,,,
710,20.0,20,,,,,
730,20.0,20,,,,,
747,17.0,17,,,,,
766,19.0,19,,,,,
775,9.0,9,,,,,
798,23.0,23,,,,,
818,20.0,20,,,,,
841,23.0,23,,,,,
866,25.0,25,,,,,
885,19.0,19,,,,,
909,24.0,24,,,,,
941,32.0,32,,,,,
951,10.0,10,,,,,
966,15.0,15,,,,,
990,24.0,24,,,,,
1002,12.0,12,,,,,
1021,19.0,19,,,,,
1039,18.0,18,,,,,
1060,21.0,21,,,,,
1077,17.0,17,,,,,
1092,15.0,15,,,,,
1110,18.0,18,,,,,
1152,42.0,42,,,,,
1167,15.0,15,,,,,
1191,24.0,24,,,,,
1211,20.0,20,,,,,
1235,24.0,24,,,,,
1255,20.0,20,,,,,
1265,10.0,10,,,,,
1304,39.0,39,,,,,
1337,33.0,33,,,,,
1356,19.0,19,,,,,
1381,25.0,25,,,,,
1400,19.0,19,,,,,
1440,40.0,40,,,,,
1470,30.0,30,,,,,
1482,12.0,12,,,,,
1497,15.0,15,,,,,
1515,18.0,18,,,,,
1533,18.0,18,,,,,
1575,42.0,42,,,,,
1609,34.0,34,,,,,
1630,21.0,21,,,,,
1641,11.0,11,,,,,
1660,19.0,19,,,,,
1678,18.0,18,,,,,
1698,20.0,20,,,,,
1720,22.0,22,,,,,
1735,15.0,15,,,,,
1749,14.0,14,,,,,
1762,13.0,13,,,,,
1806,44.0,44,,,,,
1835,29.0,29,,,,,
1856,21.0,21,,,,,
1870,14.0,14,,,,,
1882,12.0,12,,,,,
1902,20.0,20,,,,,
1914,12.0,12,,,,,
1938,24.0,24,,,,,
1956,18.0,18,,,,,
1972,16.0,16,,,,,
1983,11.0,11,,,,,
1993,10.0,10,,,,,
2011,18.0,18,,,,,
2039,28.0,28,,,,,
2048,,,62.84828567504883,-7.665307521820068,0.6690740585327148,0.015739044174551964,0.40234375
2049,10.0,10,,,,,
2086,37.0,37,,,,,
2108,22.0,22,,,,,
2125,17.0,17,,,,,
2139,14.0,14,,,,,
2151,12.0,12,,,,,
2176,25.0,25,,,,,
2198,22.0,22,,,,,
2210,12.0,12,,,,,
2230,20.0,20,,,,,
2273,43.0,43,,,,,
2295,22.0,22,,,,,
2330,35.0,35,,,,,
2346,16.0,16,,,,,
2364,18.0,18,,,,,
2408,44.0,44,,,,,
2442,34.0,34,,,,,
2487,45.0,45,,,,,
2517,30.0,30,,,,,
2539,22.0,22,,,,,
2564,25.0,25,,,,,
2602,38.0,38,,,,,
2630,28.0,28,,,,,
2645,15.0,15,,,,,
2715,70.0,70,,,,,
2737,22.0,22,,,,,
2753,16.0,16,,,,,
2771,18.0,18,,,,,
2784,13.0,13,,,,,
2794,10.0,10,,,,,
2847,53.0,53,,,,,
2863,16.0,16,,,,,
2902,39.0,39,,,,,
2939,37.0,37,,,,,
2984,45.0,45,,,,,
3009,25.0,25,,,,,
3031,22.0,22,,,,,
3045,14.0,14,,,,,
3076,31.0,31,,,,,
3098,22.0,22,,,,,
3114,16.0,16,,,,,
3142,28.0,28,,,,,
3163,21.0,21,,,,,
3184,21.0,21,,,,,
3203,19.0,19,,,,,
3229,26.0,26,,,,,
3261,32.0,32,,,,,
3277,16.0,16,,,,,
3301,24.0,24,,,,,
3324,23.0,23,,,,,
3368,44.0,44,,,,,
3392,24.0,24,,,,,
3405,13.0,13,,,,,
3435,30.0,30,,,,,
3473,38.0,38,,,,,
3500,27.0,27,,,,,
3530,30.0,30,,,,,
3551,21.0,21,,,,,
3585,34.0,34,,,,,
3619,34.0,34,,,,,
3635,16.0,16,,,,,
3646,11.0,11,,,,,
3662,16.0,16,,,,,
3686,24.0,24,,,,,
3714,28.0,28,,,,,
3740,26.0,26,,,,,
3769,29.0,29,,,,,
3786,17.0,17,,,,,
3808,22.0,22,,,,,
3829,21.0,21,,,,,
3890,61.0,61,,,,,
3911,21.0,21,,,,,
3986,75.0,75,,,,,
4003,17.0,17,,,,,
4022,19.0,19,,,,,
4060,38.0,38,,,,,
4096,,,65.34680938720703,-8.615987777709961,0.6355396509170532,0.019373267889022827,0.3125
4116,56.0,56,,,,,
4177,61.0,61,,,,,
4195,18.0,18,,,,,
4226,31.0,31,,,,,
4259,33.0,33,,,,,
4305,46.0,46,,,,,
4396,91.0,91,,,,,
4472,76.0,76,,,,,
4551,79.0,79,,,,,
4593,42.0,42,,,,,
4638,45.0,45,,,,,
4742,104.0,104,,,,,
