step,ep_return,ep_len,q_loss,actor_loss,alpha,alpha_loss
200,-883.503582478969,200,,,,
400,-1640.9397126269864,200,,,,
600,-1426.1561797744753,200,,,,
800,-906.6769596456733,200,,,,
1000,-1007.8628403926106,200,,,,
1000,,,19.960914611816406,5.901506423950195,0.19703117775698903,-2.5362629890441895
1050,,,7.2464189529418945,6.702115535736084,0.19417039619287152,-2.5324602127075195
1100,,,1.9306654930114746,7.523953437805176,0.191356492192908,-2.533684253692627
1150,,,1.51541006565094,9.236250877380371,0.18862184947544397,-2.481930732727051
1200,-1358.7313478831113,200,,,,
1200,,,1.7250689268112183,10.472490310668945,0.1859056985649478,-2.5886588096618652
1250,,,1.4252209663391113,11.368853569030762,0.183210377073737,-2.5008621215820312
1300,,,0.8780139684677124,12.565185546875,0.18058334145815524,-2.548788070678711
1350,,,0.8609408140182495,14.780834197998047,0.17804731764379197,-2.2635316848754883
1400,-1343.1812680064597,200,,,,
1400,,,3.56156325340271,14.667047500610352,0.17563113307531344,-2.516188621520996
1450,,,2.527523994445801,17.067127227783203,0.1732451920268675,-2.015512228012085
1500,,,3.1253387928009033,17.35146713256836,0.17098602250641098,-2.052830696105957
1550,,,3.5523734092712402,19.794326782226562,0.1688400641533578,-1.947927474975586
1600,-1211.8969008322304,200,,,,
1600,,,13.811473846435547,20.472169876098633,0.16667773090770302,-2.336669921875
1650,,,0.744610071182251,23.094823837280273,0.16464438813583943,-1.9779560565948486
1700,,,0.9966968297958374,22.634796142578125,0.16268731705465023,-2.015772581100464
1750,,,8.244470596313477,24.56429672241211,0.16068768407847472,-1.8604907989501953
1800,-1374.5370778985455,200,,,,
1800,,,11.464473724365234,26.55817222595215,0.15893770379119418,-1.9365262985229492
1850,,,20.30080795288086,29.241483688354492,0.15723688770572045,-1.8841853141784668
1900,,,8.259906768798828,28.929229736328125,0.15555503954748667,-1.6654038429260254
1950,,,1.3466535806655884,28.930967330932617,0.15385970669709886,-1.8303714990615845
2000,-965.0306111434127,200,,,,
2000,,,1.3979451656341553,30.654926300048828,0.1522324672968676,-1.0917627811431885
2050,,,3.312617063522339,31.849145889282227,0.15061945187456519,-1.3605552911758423
2100,,,19.984825134277344,33.301780700683594,0.14909354929643306,-1.4837862253189087
2150,,,6.3023223876953125,36.32918167114258,0.14751285573962836,-1.5271531343460083
2200,-1785.6929839464688,200,,,,
2200,,,12.411709785461426,36.09258270263672,0.14604756662168258,-1.2185838222503662
2250,,,2.6029281616210938,39.167362213134766,0.144768672037876,-1.326829433441162
2300,,,18.922409057617188,41.45096969604492,0.14336222021156858,-1.6059764623641968
2350,,,27.966840744018555,42.05125427246094,0.14196148902633618,-1.4454946517944336
2400,-1259.6921911252841,200,,,,
2400,,,9.057964324951172,43.09429168701172,0.14066493061333762,-1.0504096746444702
2450,,,40.96593475341797,42.170013427734375,0.13934461195661327,-1.3604040145874023
2500,,,8.176746368408203,44.968692779541016,0.13805103259083937,-1.255814790725708
2550,,,2.2762255668640137,45.92195129394531,0.1368761650258695,-1.2373921871185303
2600,-874.4299239944679,200,,,,
2600,,,55.98114013671875,46.7308464050293,0.13570840171498627,-0.9139988422393799
2650,,,42.920318603515625,48.847206115722656,0.13450792288361219,-1.4050076007843018
2700,,,69.46310424804688,50.12550354003906,0.13335236271954656,-0.9348831176757812
2750,,,16.29940414428711,50.18885040283203,0.13224106117421006,-1.1632628440856934
2800,-1813.9473535496818,200,,,,
2800,,,59.09223937988281,50.900177001953125,0.1310328407770605,-1.0274333953857422
2850,,,14.034385681152344,54.366615295410156,0.12988052598848765,-0.8775096535682678
2900,,,109.63014221191406,54.91014099121094,0.12880510931906222,-0.8780850768089294
2950,,,2.8485546112060547,57.26130676269531,0.12775757459057638,-0.41516104340553284
3000,-1053.382073937041,200,,,,
3000,,,95.08355712890625,57.33592987060547,0.1267945050868889,-0.8312061429023743
3050,,,77.57152557373047,57.08599090576172,0.125953622203174,-0.7252408266067505
3100,,,75.34734344482422,59.28022384643555,0.1251230834721617,-0.8316458463668823
3150,,,130.35043334960938,61.13453674316406,0.12449465846777774,-0.7407480478286743
3200,-1309.790183699733,200,,,,
3200,,,32.217185974121094,65.12860870361328,0.12381843344377896,-0.24013227224349976
3250,,,24.22977066040039,60.7365608215332,0.12317228180819897,-0.7398223280906677
3300,,,55.17762756347656,65.2042236328125,0.1224241561532074,-0.4458572268486023
3350,,,4.531484603881836,67.8399658203125,0.12174041063249837,-0.2713381052017212
3400,-1517.146488730142,200,,,,
3400,,,40.762969970703125,66.89812469482422,0.12130971707312896,-0.6314818263053894
3450,,,73.15751647949219,71.00511932373047,0.1207049898082888,0.04114643484354019
3500,,,87.10836791992188,69.41828155517578,0.12030648801383056,-0.20609164237976074
3550,,,75.22164154052734,71.99364471435547,0.12004142219805002,-0.4197641909122467
3600,-752.9122424050013,200,,,,
3600,,,46.38787078857422,70.70065307617188,0.11962298648227343,-0.2916445732116699
3650,,,107.79442596435547,73.65138244628906,0.11925687484229867,-0.24512624740600586
